date,price_usd,year,month
1978-01-31,207.8,1978,1
1978-02-28,227.3,1978,2
1978-03-31,245.7,1978,3
1978-04-28,242.1,1978,4
1978-05-31,239.2,1978,5
1978-06-30,257.6,1978,6
1978-07-31,279.1,1978,7
1978-08-31,294.7,1978,8
1978-09-29,300.8,1978,9
1978-10-31,355.1,1978,10
1978-11-30,391.7,1978,11
1978-12-29,392.0,1978,12
1979-01-31,455.1,1979,1
1979-02-28,675.3,1979,2
1979-03-30,665.3,1979,3
1979-04-30,553.6,1979,4
1979-05-31,517.4,1979,5
1979-06-29,513.8,1979,6
1979-07-31,600.7,1979,7
1979-08-31,644.3,1979,8
1979-09-28,627.2,1979,9
1979-10-31,673.6,1979,10
1979-11-30,661.2,1979,11
1979-12-31,623.5,1979,12
1980-01-31,594.9,1980,1
1980-02-29,557.4,1980,2
1980-03-31,499.8,1980,3
1980-04-30,498.8,1980,4
1980-05-30,495.8,1980,5
1980-06-30,479.7,1980,6
1980-07-31,460.8,1980,7
1980-08-29,409.3,1980,8
1980-09-30,410.2,1980,9
1980-10-31,443.8,1980,10
1980-11-28,437.8,1980,11
1980-12-31,413.4,1980,12
1981-01-30,410.1,1981,1
1981-02-27,384.1,1981,2
1981-03-31,374.1,1981,3
1981-04-30,330.3,1981,4
1981-05-29,350.3,1981,5
1981-06-30,333.8,1981,6
1981-07-31,315.0,1981,7
1981-08-31,339.0,1981,8
1981-09-30,364.2,1981,9
1981-10-30,437.3,1981,10
1981-11-30,422.2,1981,11
1981-12-31,414.9,1981,12
1982-01-29,444.3,1982,1
1982-02-26,481.3,1982,2
1982-03-31,491.2,1982,3
1982-04-30,419.7,1982,4
1982-05-31,432.9,1982,5
1982-06-30,438.0,1982,6
1982-07-30,412.8,1982,7
1982-08-31,422.7,1982,8
1982-09-30,416.2,1982,9
1982-10-29,411.8,1982,10
1982-11-30,393.6,1982,11
1982-12-31,381.7,1982,12
1983-01-31,388.3,1983,1
1983-02-28,370.9,1983,2
1983-03-31,385.9,1983,3
1983-04-29,394.3,1983,4
1983-05-31,381.4,1983,5
1983-06-30,377.4,1983,6
1983-07-29,377.7,1983,7
1983-08-31,347.5,1983,8
1983-09-30,347.7,1983,9
1983-10-31,341.1,1983,10
1983-11-30,340.2,1983,11
1983-12-30,341.2,1983,12
1984-01-31,320.2,1984,1
1984-02-29,302.8,1984,2
1984-03-30,299.1,1984,3
1984-04-30,303.9,1984,4
1984-05-31,325.3,1984,5
1984-06-29,316.4,1984,6
1984-07-31,316.5,1984,7
1984-08-31,317.2,1984,8
1984-09-28,329.8,1984,9
1984-10-31,323.4,1984,10
1984-11-30,325.8,1984,11
1984-12-31,325.3,1984,12
1985-01-31,321.9,1985,1
1985-02-28,345.4,1985,2
1985-03-29,338.9,1985,3
1985-04-30,345.7,1985,4
1985-05-31,340.4,1985,5
1985-06-28,342.4,1985,6
1985-07-31,342.7,1985,7
1985-08-30,348.3,1985,8
1985-09-30,376.6,1985,9
1985-10-31,417.7,1985,10
1985-11-29,423.5,1985,11
1985-12-31,397.6,1985,12
1986-01-31,390.9,1986,1
1986-02-28,408.3,1986,2
1986-03-31,401.1,1986,3
1986-04-30,408.9,1986,4
1986-05-30,438.4,1986,5
1986-06-30,460.2,1986,6
1986-07-31,449.6,1986,7
1986-08-29,450.5,1986,8
1986-09-30,461.2,1986,9
1986-10-31,460.4,1986,10
1986-11-28,465.4,1986,11
1986-12-31,467.6,1986,12
1987-01-30,486.2,1987,1
1987-02-27,476.6,1987,2
1987-03-31,442.1,1987,3
1987-04-30,443.6,1987,4
1987-05-29,451.6,1987,5
1987-06-30,451.1,1987,6
1987-07-31,451.3,1987,7
1987-08-31,437.6,1987,8
1987-09-30,431.3,1987,9
1987-10-30,413.5,1987,10
1987-11-30,406.8,1987,11
1987-12-31,420.2,1987,12
1988-01-29,419.1,1988,1
1988-02-29,404.0,1988,2
1988-03-31,387.5,1988,3
1988-04-29,390.2,1988,4
1988-05-31,384.4,1988,5
1988-06-30,371.1,1988,6
1988-07-29,367.6,1988,7
1988-08-31,375.0,1988,8
1988-09-30,365.1,1988,9
1988-10-31,361.8,1988,10
1988-11-30,366.9,1988,11
1988-12-30,394.3,1988,12
1989-01-31,409.4,1989,1
1989-02-28,410.1,1989,2
1989-03-31,416.8,1989,3
1989-04-28,393.1,1989,4
1989-05-31,374.2,1989,5
1989-06-30,369.1,1989,6
1989-07-31,352.3,1989,7
1989-08-31,362.5,1989,8
1989-09-29,394.7,1989,9
1989-10-31,389.3,1989,10
1989-11-30,380.7,1989,11
1989-12-29,381.7,1989,12
1990-01-31,377.0,1990,1
1990-02-28,383.6,1990,2
1990-03-30,363.8,1990,3
1990-04-30,363.3,1990,4
1990-05-31,358.4,1990,5
1990-06-29,357.0,1990,6
1990-07-31,366.7,1990,7
1990-08-31,367.7,1990,8
1990-09-28,356.3,1990,9
1990-10-31,348.7,1990,10
1990-11-30,358.7,1990,11
1990-12-31,360.2,1990,12
1991-01-31,361.7,1991,1
1991-02-28,354.5,1991,2
1991-03-29,353.9,1991,3
1991-04-30,344.3,1991,4
1991-05-31,338.6,1991,5
1991-06-28,337.2,1991,6
1991-07-31,340.8,1991,7
1991-08-30,352.7,1991,8
1991-09-30,343.1,1991,9
1991-10-31,345.4,1991,10
1991-11-29,344.4,1991,11
1991-12-31,335.0,1991,12
1992-01-31,334.8,1992,1
1992-02-28,329.0,1992,2
1992-03-31,329.3,1992,3
1992-04-30,330.1,1992,4
1992-05-29,342.2,1992,5
1992-06-30,367.2,1992,6
1992-07-31,371.9,1992,7
1992-08-31,392.2,1992,8
1992-09-30,378.8,1992,9
1992-10-30,355.3,1992,10
1992-11-30,364.2,1992,11
1992-12-31,373.8,1992,12
1993-01-29,383.3,1993,1
1993-02-26,386.9,1993,2
1993-03-31,381.9,1993,3
1993-04-30,384.1,1993,4
1993-05-31,377.3,1993,5
1993-06-30,381.4,1993,6
1993-07-30,385.6,1993,7
1993-08-31,385.5,1993,8
1993-09-30,380.4,1993,9
1993-10-29,391.6,1993,10
1993-11-30,389.8,1993,11
1993-12-31,384.4,1993,12
1994-01-31,379.3,1994,1
1994-02-28,378.6,1994,2
1994-03-31,376.6,1994,3
1994-04-29,382.1,1994,4
1994-05-31,391.0,1994,5
1994-06-30,385.2,1994,6
1994-07-29,387.6,1994,7
1994-08-31,386.2,1994,8
1994-09-30,383.7,1994,9
1994-10-31,383.1,1994,10
1994-11-30,383.1,1994,11
1994-12-30,385.3,1994,12
1995-01-31,387.4,1995,1
1995-02-28,399.5,1995,2
1995-03-31,404.8,1995,3
1995-04-28,396.2,1995,4
1995-05-31,392.9,1995,5
1995-06-30,391.9,1995,6
1995-07-31,385.3,1995,7
1995-08-31,383.5,1995,8
1995-09-29,387.3,1995,9
1995-10-31,383.2,1995,10
1995-11-30,381.1,1995,11
1995-12-29,377.9,1995,12
1996-01-31,369.0,1996,1
1996-02-29,355.1,1996,2
1996-03-29,346.6,1996,3
1996-04-30,351.8,1996,4
1996-05-31,344.5,1996,5
1996-06-28,343.8,1996,6
1996-07-31,340.8,1996,7
1996-08-30,324.1,1996,8
1996-09-30,324.0,1996,9
1996-10-31,322.8,1996,10
1996-11-29,324.9,1996,11
1996-12-31,306.0,1996,12
1997-01-31,288.7,1997,1
1997-02-28,289.1,1997,2
1997-03-31,297.5,1997,3
1997-04-30,295.9,1997,4
1997-05-30,308.3,1997,5
1997-06-30,299.1,1997,6
1997-07-31,292.3,1997,7
1997-08-29,292.9,1997,8
1997-09-30,284.1,1997,9
1997-10-31,289.0,1997,10
1997-11-28,295.9,1997,11
1997-12-31,294.1,1997,12
1998-01-30,291.7,1998,1
1998-02-27,287.1,1998,2
1998-03-31,287.3,1998,3
1998-04-30,286.0,1998,4
1998-05-29,282.6,1998,5
1998-06-30,276.4,1998,6
1998-07-31,261.3,1998,7
1998-08-31,256.1,1998,8
1998-09-30,256.7,1998,9
1998-10-30,264.7,1998,10
1998-11-30,310.7,1998,11
1998-12-31,293.2,1998,12
1999-01-29,287.1,1999,1
1999-02-26,287.3,1999,2
1999-03-31,286.0,1999,3
1999-04-30,282.6,1999,4
1999-05-31,276.4,1999,5
1999-06-30,261.3,1999,6
1999-07-30,256.1,1999,7
1999-08-31,256.7,1999,8
1999-09-30,264.7,1999,9
1999-10-29,310.7,1999,10
1999-11-30,293.2,1999,11
1999-12-31,283.1,1999,12
2000-01-31,284.3,2000,1
2000-02-29,299.9,2000,2
2000-03-31,286.4,2000,3
2000-04-28,279.7,2000,4
2000-05-31,275.2,2000,5
2000-06-30,285.7,2000,6
2000-07-31,281.6,2000,7
2000-08-31,274.5,2000,8
2000-09-29,273.7,2000,9
2000-10-31,270.0,2000,10
2000-11-30,266.0,2000,11
2000-12-29,271.5,2000,12
2001-01-31,265.5,2001,1
2001-02-28,261.9,2001,2
2001-03-30,263.0,2001,3
2001-04-30,260.5,2001,4
2001-05-31,272.4,2001,5
2001-06-29,270.2,2001,6
2001-07-31,267.5,2001,7
2001-08-31,272.4,2001,8
2001-09-28,283.4,2001,9
2001-10-31,283.1,2001,10
2001-11-30,276.2,2001,11
2001-12-31,275.9,2001,12
2002-01-31,281.5,2002,1
2002-02-28,295.5,2002,2
2002-03-29,294.1,2002,3
2002-04-30,302.7,2002,4
2002-05-31,314.5,2002,5
2002-06-28,321.2,2002,6
2002-07-31,313.3,2002,7
2002-08-30,310.3,2002,8
2002-09-30,319.1,2002,9
2002-10-31,316.6,2002,10
2002-11-29,319.1,2002,11
2002-12-31,331.9,2002,12
2003-01-31,356.9,2003,1
2003-02-28,359.0,2003,2
2003-03-31,340.6,2003,3
2003-04-30,328.2,2003,4
2003-05-30,355.7,2003,5
2003-06-30,356.4,2003,6
2003-07-31,351.0,2003,7
2003-08-29,359.8,2003,8
2003-09-30,379.0,2003,9
2003-10-31,378.9,2003,10
2003-11-28,389.9,2003,11
2003-12-31,407.0,2003,12
2004-01-30,413.8,2004,1
2004-02-27,404.9,2004,2
2004-03-31,406.7,2004,3
2004-04-30,403.3,2004,4
2004-05-31,383.8,2004,5
2004-06-30,392.4,2004,6
2004-07-30,398.1,2004,7
2004-08-31,400.5,2004,8
2004-09-30,405.3,2004,9
2004-10-29,420.5,2004,10
2004-11-30,439.4,2004,11
2004-12-31,442.1,2004,12
2005-01-31,424.0,2005,1
2005-02-28,423.4,2005,2
2005-03-31,434.3,2005,3
2005-04-29,429.2,2005,4
2005-05-31,421.9,2005,5
2005-06-30,430.7,2005,6
2005-07-29,424.5,2005,7
2005-08-31,437.9,2005,8
2005-09-30,456.1,2005,9
2005-10-31,469.9,2005,10
2005-11-30,476.7,2005,11
2005-12-30,510.1,2005,12
2006-01-31,549.9,2006,1
2006-02-28,555.0,2006,2
2006-03-31,557.1,2006,3
2006-04-28,610.7,2006,4
2006-05-31,675.4,2006,5
2006-06-30,596.2,2006,6
2006-07-31,633.7,2006,7
2006-08-31,632.6,2006,8
2006-09-29,598.2,2006,9
2006-10-31,585.8,2006,10
2006-11-30,627.8,2006,11
2006-12-29,629.8,2006,12
2007-01-31,631.2,2007,1
2007-02-28,664.8,2007,2
2007-03-30,654.9,2007,3
2007-04-30,679.4,2007,4
2007-05-31,666.9,2007,5
2007-06-29,655.5,2007,6
2007-07-31,665.3,2007,7
2007-08-31,665.4,2007,8
2007-09-28,712.7,2007,9
2007-10-31,754.6,2007,10
2007-11-30,806.3,2007,11
2007-12-31,803.2,2007,12
2008-01-31,889.6,2008,1
2008-02-29,922.3,2008,2
2008-03-31,968.4,2008,3
2008-04-30,909.7,2008,4
2008-05-30,888.7,2008,5
2008-06-30,889.5,2008,6
2008-07-31,939.8,2008,7
2008-08-29,839.0,2008,8
2008-09-30,829.9,2008,9
2008-10-31,806.6,2008,10
2008-11-28,760.9,2008,11
2008-12-31,816.1,2008,12
2009-01-30,858.7,2009,1
2009-02-27,943.2,2009,2
2009-03-31,924.3,2009,3
2009-04-30,890.2,2009,4
2009-05-29,928.6,2009,5
2009-06-30,945.7,2009,6
2009-07-31,934.2,2009,7
2009-08-31,949.4,2009,8
2009-09-30,996.6,2009,9
2009-10-30,1043.2,2009,10
2009-11-30,1127.0,2009,11
2009-12-31,1134.7,2009,12
2010-01-29,1118.0,2010,1
2010-02-26,1095.4,2010,2
2010-03-31,1113.3,2010,3
2010-04-30,1148.7,2010,4
2010-05-31,1205.4,2010,5
2010-06-30,1232.9,2010,6
2010-07-30,1193.0,2010,7
2010-08-31,1215.8,2010,8
2010-09-30,1271.0,2010,9
2010-10-29,1342.0,2010,10
2010-11-30,1369.9,2010,11
2010-12-31,1390.6,2010,12
2011-01-31,1356.4,2011,1
2011-02-28,1372.7,2011,2
2011-03-31,1424.0,2011,3
2011-04-29,1473.8,2011,4
2011-05-31,1510.4,2011,5
2011-06-30,1528.7,2011,6
2011-07-29,1572.8,2011,7
2011-08-31,1755.8,2011,8
2011-09-30,1771.9,2011,9
2011-10-31,1665.2,2011,10
2011-11-30,1739.0,2011,11
2011-12-30,1652.3,2011,12
2012-01-31,1656.1,2012,1
2012-02-29,1742.6,2012,2
2012-03-30,1673.8,2012,3
2012-04-30,1650.1,2012,4
2012-05-31,1585.5,2012,5
2012-06-29,1596.7,2012,6
2012-07-31,1593.9,2012,7
2012-08-31,1626.0,2012,8
2012-09-28,1744.5,2012,9
2012-10-31,1747.0,2012,10
2012-11-30,1721.1,2012,11
2012-12-31,1688.5,2012,12
2013-01-31,1671.0,2013,1
2013-02-28,1627.6,2013,2
2013-03-29,1592.9,2013,3
2013-04-30,1485.1,2013,4
2013-05-31,1413.5,2013,5
2013-06-28,1342.4,2013,6
2013-07-31,1286.7,2013,7
2013-08-30,1347.1,2013,8
2013-09-30,1348.8,2013,9
2013-10-31,1316.2,2013,10
2013-11-29,1275.8,2013,11
2013-12-31,1225.4,2013,12
2014-01-31,1244.8,2014,1
2014-02-28,1301.0,2014,2
2014-03-31,1336.1,2014,3
2014-04-30,1299.0,2014,4
2014-05-30,1287.5,2014,5
2014-06-30,1279.1,2014,6
2014-07-31,1311.0,2014,7
2014-08-29,1296.0,2014,8
2014-09-30,1238.8,2014,9
2014-10-31,1222.5,2014,10
2014-11-28,1176.3,2014,11
2014-12-31,1202.3,2014,12
2015-01-30,1251.9,2015,1
2015-02-27,1227.2,2015,2
2015-03-31,1178.6,2015,3
2015-04-30,1197.9,2015,4
2015-05-29,1199.1,2015,5
2015-06-30,1181.5,2015,6
2015-07-31,1130.0,2015,7
2015-08-31,1117.5,2015,8
2015-09-30,1124.5,2015,9
2015-10-30,1159.3,2015,10
2015-11-30,1085.7,2015,11
2015-12-31,1068.3,2015,12
2016-01-29,1097.4,2016,1
2016-02-29,1199.9,2016,2
2016-03-31,1246.3,2016,3
2016-04-29,1242.3,2016,4
2016-05-31,1259.4,2016,5
2016-06-30,1276.4,2016,6
2016-07-29,1337.3,2016,7
2016-08-31,1341.1,2016,8
2016-09-30,1326.0,2016,9
2016-10-31,1266.6,2016,10
2016-11-30,1236.0,2016,11
2016-12-30,1151.4,2016,12
2017-01-31,1192.6,2017,1
2017-02-28,1234.4,2017,2
2017-03-31,1231.1,2017,3
2017-04-28,1265.6,2017,4
2017-05-31,1245.0,2017,5
2017-06-30,1260.3,2017,6
2017-07-31,1236.2,2017,7
