date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1978-01-01,207.8,8.201,1704.1678000000002,6.7,6.814310051107331,,,
1978-02-01,227.3,8.1094,1843.2666200000003,6.78,6.239460370994943,9.384023099133776,-1.116936958907444,8.162272517999703
1978-03-01,245.7,8.2078,2016.6564600000002,6.79,6.375838926174482,8.09502859656841,1.2134066638715524,9.40666087687303
1978-04-01,242.1,8.465,2049.3765,6.89,6.499999999999995,-1.46520146520146,3.1336046199956114,1.622489533988336
1978-05-01,239.2,8.5827,2052.98184,7.36,7.14285714285714,-1.1978521272201559,1.390431187241603,0.1759237504675326
1978-06-01,257.6,8.4041,2164.8961600000002,7.6,7.438016528925617,7.692307692307709,-2.080930243396617,5.451305891726754
1978-07-01,279.1,8.1665,2279.27015,7.81,7.7302631578947345,8.346273291925455,-2.8271914898680417,5.283116673826971
1978-08-01,294.7,8.0139,2361.6963299999998,8.04,7.855973813420625,5.589394482264409,-1.8686095634604771,3.616340958968811
1978-09-01,300.8,8.0365,2417.3792000000003,8.45,8.482871125611746,2.069901594842216,0.2820100076117882,2.3577489320991907
1978-10-01,355.1,7.911,2809.1961,8.96,8.92857142857142,18.05186170212767,-1.5616250855472025,16.208334215831744
1978-11-01,391.7,8.0335,3146.72195,9.76,8.870967741935477,10.306955787102211,1.5484768044495167,12.015033411159859
1978-12-01,392.0,8.216,3220.6719999999996,10.03,8.988764044943842,0.07658922644881994,2.2717371008900145,2.3500662332113453
1979-01-01,455.1,8.2091,3735.96141,10.07,9.250398724082933,16.096938775510218,-0.08398247322297658,15.99943769499037
1979-02-01,675.3,8.25,5571.224999999999,10.06,9.84126984126985,48.384970336189824,0.49822757671365014,49.12426517810311
1979-03-01,665.3,8.2418,5483.269539999999,10.09,10.252365930599373,-1.480823337775805,-0.09939393939394359,-1.5787454285188685
1979-04-01,553.6,8.2062,4542.95232,10.01,10.485133020344284,-16.789418307530426,-0.4319444781479609,-17.14884182038585
1979-05-01,517.4,8.2891,4288.780339999999,10.24,10.697674418604652,-6.539017341040465,1.0102117910847808,-5.594863474155964
1979-06-01,513.8,8.119,4171.5422,10.29,11.076923076923071,-0.6957866254348688,-2.052092507027292,-2.733600947256709
1979-07-01,600.7,7.9067,4749.55469,10.47,11.45038167938932,16.913195796029612,-2.614854046064785,13.856086365373454
1979-08-01,644.3,8.0113,5161.68059,10.94,11.836115326251884,7.258198768103874,1.3229286554441222,8.677148214920338
1979-09-01,627.2,8.1358,5102.77376,11.43,11.879699248120312,-2.6540431476020365,1.5540548974573243,-1.1412335376606464
1979-10-01,673.6,8.2259,5540.96624,13.77,12.071535022354718,7.397959183673475,1.107451018953265,8.587338976988068
1979-11-01,661.2,8.1926,5416.947120000001,13.18,12.5925925925926,-1.8408551068883616,-0.40481892558867916,-2.238221902611681
1979-12-01,623.5,8.0995,5050.0382500000005,13.78,13.254786450662737,-5.701754385964919,-1.1363913775846446,-6.773351518336401
1980-01-01,594.9,7.9882,4752.180179999999,13.82,13.868613138686126,-4.587008821170812,-1.374158898697464,-5.8981349299681245
1980-02-01,557.4,7.9816,4448.94384,14.13,14.161849710982644,-6.303580433686329,-0.08262186725419562,-6.380994165082344
1980-03-01,499.8,8.1519,4074.3196199999998,17.19,14.592274678111572,-10.333692142088257,2.133657412047696,-8.420520318368418
1980-04-01,498.8,8.07,4025.3160000000003,17.61,14.589235127478762,-0.200080032012806,-1.0046737570382214,-1.2027436374763223
1980-05-01,495.8,7.8586,3896.29388,10.98,14.425770308123242,-0.6014434643143551,-2.6195786864931847,-3.205266866005052
1980-06-01,479.7,7.8424,3761.9992799999995,9.47,14.265927977839322,-3.2472771278741486,-0.20614358791642973,-3.446726662209587
